Country,Severity,Displaced
Canada,2.0,5000.0
Afghanistan,1.0,5000.0
Madagascar,1.0,8300.0
Italy,1.0,0.0
Bangladesh,1.0,100000.0
USA,2.0,500000.0
Phillipines,1.0,60000.0
Nepal,1.0,1600.0
Costa Rica,1.0,15000.0
France,1.0,3000.0
Ethiopia,2.0,260000.0
Tanzania,1.0,300.0
Nigeria,1.0,1500.0
Bolivia,1.0,0.0
Venezuela,1.0,26000.0
Malawi,2.0,50000.0
Saudi Arabia,1.0,700.0
Australia,2.0,3000.0
Iran,1.0,3000.0
Algeria,1.0,0.0
El Salvador,2.0,250000.0
Turkey,1.0,0.0
Zambia,1.0,300.0
Russia,2.0,50.0
Sudan,1.0,9000.0
China,2.0,1500000.0
Chile,1.0,800.0
Thailand,2.0,700000.0
Haiti,1.0,1500.0
Iraq,1.0,0.0
Kazakhstan,1.0,30000.0
Sierra Leone,2.0,15000.0
Spain,1.0,0.0
Ukraine,1.0,50.0
Mauritania,2.0,3000.0
Georgia,1.0,6000.0
Colombia,1.0,100000.0
Western Sahara,2.0,3000.0
Pakistan,2.0,452000.0
Philippines,1.0,32782.0
Indonesia,1.0,50000.0
Central African Republic,1.0,22500.0
North Korea,1.0,16000.0
Tajikistan,1.0,11000.0
Vietnam,1.0,30000.0
Finland,1.0,400.0
Kenya,2.0,40000.0
Switzerland,2.0,2500.0
New Zealand,2.0,290.0
Guyana,2.0,375000.0
Poland,1.0,1000.0
South Korea,1.0,1500.0
Brazil,1.0,31000.0
Bulgaria,1.0,12000.0
Jamaica,1.0,100000.0
Romania,2.0,13000.0
Albania,1.0,0.0
Angola,1.0,10000.0
Mexico,1.0,10000.0
Nicaragua,1.0,20000.0
India,2.0,3000000.0
Malaysia,2.0,600.0
Senegal,1.0,5600.0
Mozambique,1.0,0.0
UK,2.0,3000.0
Greece,2.0,300.0
Sri Lanka,1.0,8000.0
Japan,1.0,301000.0
Taiwan,2.0,1840000.0
Congo Republic,1.0,0.0
